usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,01/09/2020,01/09/2020,82,2.6,0,40,9
Customer,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,27/06/2019,27/06/2019,75.1,3.4,0.07,20,13
Subscriber,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,05/07/2019,05/07/2019,71.4,6.7,0.14,80,2
Subscriber,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,22/07/2019,22/07/2019,77,2.3,0,60,4
Subscriber,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,09/07/2020,09/07/2020,74.7,3.6,0,320,1
Subscriber,10002,Manhattan,Lower East Side,11217,Brooklyn,Northwest Brooklyn,14/03/2020,14/03/2020,44,4,0.23,20,2
Subscriber,10002,Manhattan,Lower East Side,10005,Manhattan,Lower Manhattan,28/09/2020,28/09/2020,70.1,2.3,0,30,1
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,17/05/2019,17/05/2019,61.6,5.3,1.51,10,10
Customer,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,14/06/2020,14/06/2020,77.9,2.1,0,250,1
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,14/03/2020,14/03/2020,44,4,0.23,30,1
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,22/12/2019,22/12/2019,37.4,5,0,10,4
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,12/01/2020,12/01/2020,36.9,3.3,0.01,30,2
Customer,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,14/07/2020,14/07/2020,75.3,2.1,0,20,1
Customer,10002,Manhattan,Lower East Side,10003,Manhattan,Lower East Side,03/05/2020,03/05/2020,61.6,2.5,0,10,11
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,30/06/2020,30/06/2020,74.5,3.7,0,30,4
Customer,10002,Manhattan,Lower East Side,10007,Manhattan,Lower Manhattan,29/05/2019,29/05/2019,56.3,4.8,0,20,3
Customer,10002,Manhattan,Lower East Side,10012,Manhattan,Greenwich Village and Soho,25/05/2019,25/05/2019,65.8,2,0.32,30,4
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,29/04/2019,29/04/2019,49.7,7.1,0,20,16
Subscriber,10002,Manhattan,Lower East Side,10036,Manhattan,Chelsea and Clinton,10/06/2020,10/06/2020,74,2.5,0.01,60,1
Customer,10002,Manhattan,Lower East Side,11201,Brooklyn,Northwest Brooklyn,03/08/2019,03/08/2019,69.5,2.2,0.1,50,2
Subscriber,10002,Manhattan,Lower East Side,10001,Manhattan,Chelsea and Clinton,13/09/2019,13/09/2019,63.9,5.2,0,20,9
Subscriber,10002,Manhattan,Lower East Side,11205,Brooklyn,Northwest Brooklyn,14/01/2020,14/01/2020,22.8,6.4,0,10,1
Customer,10002,Manhattan,Lower East Side,11205,Brooklyn,Northwest Brooklyn,02/02/2020,02/02/2020,29.9,6.8,0.71,20,1
Subscriber,10002,Manhattan,Lower East Side,10036,Manhattan,Chelsea and Clinton,12/05/2020,12/05/2020,75.6,3.7,0,30,4
Subscriber,10002,Manhattan,Lower East Side,11201,Brooklyn,Northwest Brooklyn,28/07/2020,28/07/2020,82.7,2.2,0,20,25
Customer,10002,Manhattan,Lower East Side,11201,Brooklyn,Northwest Brooklyn,11/11/2019,11/11/2019,56.4,2.9,0,20,2
Subscriber,10002,Manhattan,Lower East Side,10023,Manhattan,Upper West Side,26/10/2019,26/10/2019,58.4,6.8,0.01,60,1
Subscriber,10002,Manhattan,Lower East Side,10009,Manhattan,Lower East Side,30/10/2019,30/10/2019,52.5,3.6,0,20,9
Customer,10002,Manhattan,Lower East Side,11217,Brooklyn,Northwest Brooklyn,25/10/2020,25/10/2020,59.1,4,0.02,20,1
Subscriber,10002,Manhattan,Lower East Side,10013,Manhattan,Greenwich Village and Soho,21/10/2019,21/10/2019,60.2,2.7,0,0,5
